unique_id,ds,ex_1,ex_2,ex_3,ex_4,ex_5
Adj Close,2022-11-21,"33,700.87",1108.353027,1754.6,"3,949.94",107.78
Adj Close,2022-11-18,"33,747.14",1212.300293,1769.0,"3,965.34",106.97
Adj Close,2022-11-17,"33,547.37",1200.808594,1763.0,"3,946.56",106.69
Adj Close,2022-11-16,"33,556.60",1215.602539,1775.8,"3,958.79",106.28
Adj Close,2022-11-15,"33,594.17",1251.736206,1774.7,"3,991.73",106.4
Adj Close,2022-11-14,"33,537.16",1241.604248,1774.2,"3,957.25",106.66
Adj Close,2022-11-11,"33,749.18",1287.221069,1774.2,"3,992.93",106.29
Adj Close,2022-11-10,"33,712.21",1299.4646,1753.7,"3,956.37",108.21
Adj Close,2022-11-09,"32,514.27",1100.1698,1715.8,"3,748.57",110.55
Adj Close,2022-11-08,"33,162.28",1332.835571,1716.0,"3,828.11",109.64
Adj Close,2022-11-07,"32,829.18",1568.591309,1680.5,"3,806.80",110.12
Adj Close,2022-11-04,"32,404.80",1645.093384,1685.7,"3,770.55",110.88
Adj Close,2022-11-03,"31,999.34",1531.541748,1637.7,"3,719.89",112.93
Adj Close,2022-11-02,"32,146.77",1519.711792,1651.0,"3,759.69",111.35
Adj Close,2022-11-01,"32,650.83",1579.70459,1636.4,"3,856.10",111.48
Adj Close,2022-10-31,"32,734.40",1572.714478,1648.3,"3,871.98",111.53
Adj Close,2022-10-28,"32,861.34",1555.477905,1648.3,"3,901.06",110.75
Adj Close,2022-10-27,"32,037.83",1514.374878,1668.8,"3,807.30",110.59
Adj Close,2022-10-26,"31,840.10",1566.56665,1669.2,"3,830.60",109.7
Adj Close,2022-10-25,"31,837.20",1461.665405,1658.0,"3,859.11",110.95
Adj Close,2022-10-24,"31,500.61",1344.998535,1654.1,"3,797.34",111.99
Adj Close,2022-10-21,"31,083.02",1299.946411,1656.3,"3,752.75",112.01
Adj Close,2022-10-20,"30,332.80",1283.200928,1636.8,"3,665.78",112.88
Adj Close,2022-10-19,"30,425.26",1285.744263,1634.2,"3,695.16",112.98
Adj Close,2022-10-18,"30,527.49",1310.447021,1655.5,"3,719.98",112.13
Adj Close,2022-10-17,"30,188.79",1331.713623,1664.0,"3,677.95",112.04
Adj Close,2022-10-14,"29,643.67",1297.422119,1672.9,"3,583.07",113.31
Adj Close,2022-10-13,"30,038.06",1288.123901,1672.9,"3,669.91",112.36
Adj Close,2022-10-12,"29,210.52",1294.906372,1677.5,"3,577.03",113.32
Adj Close,2022-10-11,"29,238.66",1279.575684,1686.0,"3,588.84",113.22
Adj Close,2022-10-10,"29,202.94",1291.337646,1675.2,"3,612.39",113.14
Adj Close,2022-10-07,"29,297.25",1332.516968,1709.3,"3,639.66",112.79
Adj Close,2022-10-06,"29,926.47",1351.709473,1720.9,"3,744.52",112.26
Adj Close,2022-10-05,"30,274.80",1352.837158,1720.8,"3,783.28",111.07
Adj Close,2022-10-04,"30,316.98",1362.126587,1730.5,"3,790.93",110.07
Adj Close,2022-10-03,"29,490.03",1323.439209,1702.0,"3,678.43",111.75
Adj Close,2022-09-30,"28,730.12",1327.978638,1672.0,"3,585.62",112.12
Adj Close,2022-09-29,"29,227.59",1335.652344,1668.6,"3,640.47",112.25
Adj Close,2022-09-28,"29,681.76",1337.410889,1670.0,"3,719.04",112.6
Adj Close,2022-09-27,"29,136.90",1330.127686,1636.2,"3,647.29",114.11
Adj Close,2022-09-26,"29,264.50",1335.32019,1633.4,"3,655.04",114.1
Adj Close,2022-09-23,"29,592.85",1328.259521,1655.6,"3,693.23",113.19
Adj Close,2022-09-22,"30,076.09",1327.680176,1681.1,"3,757.99",111.35
Adj Close,2022-09-21,"30,183.71",1252.607788,1675.7,"3,789.93",110.64
Adj Close,2022-09-20,"30,707.08",1324.388184,1671.1,"3,855.93",110.21
Adj Close,2022-09-19,"31,019.82",1377.541382,1678.2,"3,899.89",109.74
Adj Close,2022-09-16,"30,821.50",1432.447754,1683.5,"3,873.33",109.76
Adj Close,2022-09-15,"30,962.02",1471.693481,1677.3,"3,901.35",109.74
Adj Close,2022-09-14,"31,135.09",1634.755005,1709.1,"3,946.01",109.66
Adj Close,2022-09-13,"31,104.90",1580.787964,1717.4,"3,932.69",109.82
Adj Close,2022-09-12,"32,383.18",1713.765259,1740.6,"4,110.41",108.33
Adj Close,2022-09-09,"32,151.71",1719.085449,1728.6,"4,067.36",109.0
Adj Close,2022-09-08,"31,773.80",1635.347656,1720.2,"4,006.18",109.71
Adj Close,2022-09-07,"31,581.65",1629.906372,1727.8,"3,979.87",109.84
Adj Close,2022-09-06,"31,148.07",1561.748535,1712.9,"3,908.19",110.21
Adj Close,2022-09-02,"31,318.84",1577.220459,1722.6,"3,924.26",109.53
Adj Close,2022-09-01,"31,657.14",1586.176758,1709.3,"3,966.85",109.69
Adj Close,2022-08-31,"31,511.09",1553.684937,1726.2,"3,955.00",108.7
Adj Close,2022-08-30,"31,790.74",1523.838867,1736.3,"3,986.16",108.77
Adj Close,2022-08-29,"32,099.65",1553.037354,1749.7,"4,030.61",108.83
Adj Close,2022-08-26,"32,282.80",1507.782837,1749.8,"4,057.66",108.8
Adj Close,2022-08-25,"33,293.66",1696.457031,1771.4,"4,199.12",108.47
