,x,y,STATION_NAME,FILENAME,PROVINCE_CODE,min_date,max_date,mean_temp_coverage,max_temp_coverage,total_precipitation_coverage,direction_max_gust_coverage,speed_max_gust_coverage,min_rel_humiudity_coverage,max_rel_humiudity_coverage
0,-75.66666666666667,44.6,BROCKVILLE PCC,station_4236_data.csv,ON,1965-08-01,2022-01-08,0.9915708438900799,0.9975151042681738,0.9979048918339505,0.0,0.0,0.0,0.0
2,-124.50027777777778,49.83416944444444,POWELL RIVER A,station_327_data.csv,BC,1954-01-01,2022-01-08,0.9819485001327316,0.9859304486328644,0.9927440049553137,0.0,0.0,0.0,0.0
3,-97.16666666666669,50.11666666666667,STONY MOUNTAIN,station_3678_data.csv,MB,1972-01-01,2022-01-08,0.9976944272619918,0.9980318281504807,0.9982005285947253,0.0,0.0,0.0,0.0
4,-82.93333333333334,42.333333333333336,WINDSOR RIVERSIDE,station_4715_data.csv,ON,1866-06-01,2022-01-07,0.9522249423963134,0.9524049539170507,0.9971558179723502,0.0,0.0,0.0,0.0
6,-77.53333333333333,44.11666666666667,TRENTON A,station_5126_data.csv,ON,1935-01-01,2022-01-08,0.9729520616396402,0.9741448789451627,0.9786904800283697,0.7445759050904284,0.748412263451433,0.7593410490344628,0.7593732873400174
8,-119.71666666666668,49.78333333333333,PEACHLAND,station_1046_data.csv,BC,1971-03-01,2022-01-02,0.9827282340500528,0.9849136411702503,0.9964751498061333,0.0,0.0,0.0,0.0
9,-117.77417777777778,49.34339444444444,CASTLEGAR BCHPA DAM,station_1106_data.csv,BC,1969-06-01,2022-01-09,0.9741467286540424,0.9861095362285973,0.9873001474090033,0.0,0.0,0.0,0.0
10,-64.6641688888889,43.99001944444444,WESTERN HEAD,station_6501_data.csv,NS,1959-08-01,2022-01-08,0.9883409785932722,0.9899974515800204,0.9599898063200816,0.5061162079510704,0.506434760448522,0.3277905198776758,0.3277905198776758
11,-90.21777972222222,51.44916694444444,PICKLE LAKE (AUT),station_3920_data.csv,ON,1930-07-01,2022-01-08,0.9641261276452239,0.9669505100750359,0.9545991063148133,0.43524997892251915,0.435671528538909,0.15626844279571706,0.15609982294916114
12,-107.05,51.48333333333333,OUTLOOK PFRA,station_3318_data.csv,SK,1952-05-01,2022-01-08,0.9911164465786314,0.9931172468987595,0.9728691476590636,0.18471388555422164,0.19311724689875953,0.13805522208883558,0.138015206082433
