unique_id,ds,eth,dji,gc,sp,us
BTC,2017-11-09,320.884003,"23,461.94",1287.5,"2,584.62",94.44
BTC,2017-11-10,299.252991,"23,422.21",1274.2,"2,582.30",94.39
BTC,2017-11-11,314.681,"23,422.21",1274.2,"2,582.30",94.39
BTC,2017-11-12,307.90799,"23,422.21",1274.2,"2,582.30",94.39
BTC,2017-11-13,316.716003,"23,439.70",1278.9,"2,584.84",94.49
BTC,2017-11-14,337.631012,"23,409.47",1282.9,"2,578.87",93.83
BTC,2017-11-15,333.356995,"23,271.28",1277.7,"2,564.62",93.81
BTC,2017-11-16,330.924011,"23,458.36",1278.2,"2,585.64",93.93
BTC,2017-11-17,332.394012,"23,358.24",1296.5,"2,578.85",93.66
BTC,2017-11-18,347.612,"23,358.24",1296.5,"2,578.85",93.66
BTC,2017-11-19,354.385986,"23,358.24",1296.5,"2,578.85",93.66
BTC,2017-11-20,366.730011,"23,430.33",1275.3,"2,582.14",94.08
BTC,2017-11-21,360.401001,"23,590.83",1281.7,"2,599.03",93.95
BTC,2017-11-22,380.652008,"23,526.18",1296.8,"2,597.08",93.22
BTC,2017-11-23,410.165985,"23,526.18",1296.8,"2,597.08",93.22
BTC,2017-11-24,474.911011,"23,557.99",1291.8,"2,602.42",92.78
BTC,2017-11-25,466.276001,"23,557.99",1291.8,"2,602.42",92.78
BTC,2017-11-26,471.329987,"23,557.99",1291.8,"2,602.42",92.78
BTC,2017-11-27,480.355011,"23,580.78",1298.9,"2,601.42",92.9
BTC,2017-11-28,472.902008,"23,836.71",1299.2,"2,627.04",93.27
BTC,2017-11-29,427.52301,"23,940.68",1286.2,"2,626.07",93.16
BTC,2017-11-30,447.114014,"24,272.35",1276.7,"2,647.58",93.05
BTC,2017-12-01,466.540009,"24,231.59",1282.3,"2,642.22",92.89
BTC,2017-12-02,463.449005,"24,231.59",1282.3,"2,642.22",92.89
BTC,2017-12-03,465.852997,"24,231.59",1282.3,"2,642.22",92.89
BTC,2017-12-04,470.20401,"24,290.05",1277.7,"2,639.44",93.19
